deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Monoblack,24,3.4444444444444446,0,4.0,8.0,8.0,8.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Monoblack2,25,3.1714285714285713,0,9.0,3.0,8.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDW,20,1.8,0,12.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sligh3,19,1.4390243902439024,0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sligh_Burn,19,1.7804878048780488,0,13.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sligh_Red,17,1.7906976744186047,0,20.0,16.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sligh_heroic,18,1.7142857142857142,0,20.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Twin_Flame,23,2.4864864864864864,0,4.0,18.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Twin_Flame_RG,23,2.972972972972973,0,0.0,17.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UB Discard,24,3.388888888888889,0,0.0,5.0,19.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UB_Trix,22,1.5789473684210527,0,20.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_Flash,24,2.9166666666666665,0,5.0,11.0,7.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_Flash_2,24,2.7567567567567566,0,4.0,13.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_TIME,24,2.7777777777777777,0,4.0,16.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_Ember,24,2.611111111111111,0,0.0,24.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_NIVIX,20,1.6,0,24.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_NIVIX_2,20,1.4,0,28.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_NIVIX_TRIX,24,2.5555555555555554,0,0.0,24.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_NIVIX_TRIX_1,22,2.3421052631578947,0,8.0,16.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UW_Sligh,20,1.6,0,20.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatile_Rig,24,3.0555555555555554,0,0.0,12.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatile_Rig2,24,2.4444444444444446,0,4.0,20.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voltron - Bant,22,2.1538461538461537,0,16.0,4.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voltron - Naiya,22,2.0,0,14.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fires,24,3.25,0,4.0,8.0,11.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monoblack_skillrats,25,2.8,0,4.0,11.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
